entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Cambodia,KHM,2014,2442.8054,2.528299,15.210817,Asia,73.5883255,944.835192079636,0.38678283259060914,0.07788482702261322,
Cambodia,KHM,2015,2458.309,2.7521517,15.417527,Asia,72.51950836,1006.89966588241,0.4095903590160594,0.07202257664515815,
Cambodia,KHM,2016,2467.99,2.828313,15.624586,Asia,78.35865784,1100.72229872023,0.4459994970482984,0.07118839868248766,
Cambodia,KHM,2017,2474.9119,3.02265,15.830694,Asia,80.16951752,1199.93528923228,0.4848395974144695,0.06681153412138796,
Cambodia,KHM,2018,2474.9119,3.2637424,16.025242,Asia,94.20539856,1305.94454463845,0.5276731445020124,0.07213583375095052,
Cambodia,KHM,2019,2474.9119,3.4332101,16.207746,Asia,115.25953674,1413.82639342385,0.5712633219080849,0.08152311859228846,42.712593
Cambodia,KHM,2019,2474.9119,3.4332101,16.207746,Asia,115.25953674,1413.82639342385,0.5712633219080849,0.08152311859228846,
Canada,CAN,2000,1786.1864,48.0997,30.683316,North America,2001.66870117,19386.4454096933,10.853539927128153,0.10325093945118777,
Canada,CAN,2001,1773.0408,47.65457,31.002768,North America,2055.75976563,18986.1541742674,10.708244375576356,0.10827678669207495,
Canada,CAN,2002,1754.3634,47.368656,31.3224,North America,2149.37939453,19536.5327725501,11.135966911159969,0.11001846742990117,
Canada,CAN,2003,1743.8031,48.947586,31.619456,North America,2552.26391602,22685.4305431849,13.009169752700231,0.11250674353133426,
Canada,CAN,2004,1753.7999,49.97147,31.91167,North America,2916.25146484,26001.6601743292,14.82589899470812,0.11215635637447272,
Canada,CAN,2005,1744.0182,53.21647,32.215914,North America,3291.22094727,29228.9716252455,16.75955653745213,0.11260132547486972,
Canada,CAN,2006,1743.5408,52.629272,32.531864,North America,3788.6862793,33132.80795831,19.00317328869505,0.11434848154334484,
Canada,CAN,2007,1742.9257,52.54481,32.862458,North America,4221.92871094,36533.7630549772,20.96117066549492,0.11556238279059028,
Canada,CAN,2008,1740.306,53.956257,33.218542,North America,4491.22949219,37787.3516242328,21.71305024761898,0.11885536559566144,
Canada,CAN,2009,1710.836,50.187183,33.59392,North America,4392.14404297,32987.1996629015,19.281333607021068,0.13314692025554237,
Canada,CAN,2010,1714.2085,52.5742,33.963416,North America,5096.12353516,38679.3328031375,22.56396045354897,0.13175313961844307,
Canada,CAN,2011,1712.6512,54.738247,34.323536,North America,5437.85205078,42617.8412643468,24.884133596115074,0.1275956709550466,
Canada,CAN,2012,1720.6306,54.253727,34.691876,North America,5541.57714844,43023.425828351,25.00445233762029,0.12880371662054596,
Canada,CAN,2013,1714.9354,55.697662,35.063696,North America,5484.80761719,43052.1348373201,25.104231236535266,0.1273992018726897,
Canada,CAN,2014,1709.6014,57.38791,35.404616,North America,5231.94775391,41604.0805142026,24.335544246865147,0.12575563957299676,
Canada,CAN,2015,1710.7802,53.85795,35.73212,North America,4679.97607422,35365.6940194902,20.672260539074628,0.13233095529359168,
Canada,CAN,2016,1705.1924,54.124077,36.113532,North America,4668.23632813,34319.7956533415,20.12664122438119,0.13602168192617092,
Canada,CAN,2017,1693.7847,56.25572,36.554344,North America,4900.66894531,36906.1491263904,21.78916194389429,0.13278732843480787,
Canada,CAN,2018,1707.0592,56.634796,37.03526,North America,5052.67773438,37836.0080362535,22.164438137970553,0.13354151234820155,
Canada,CAN,2019,1689.2809,57.244343,37.522584,North America,5083.72558594,37803.0773229437,22.37820679967654,0.1344791468300532,9.985679
Canada,CAN,2019,1689.2809,57.244343,37.522584,North America,5083.72558594,37803.0773229437,22.37820679967654,0.1344791468300532,
Chile,CHL,2000,2263.0,14.319135,15.351803,South America,356.74414063,4103.7715979396,1.8134209447368979,0.08693079819771457,
Chile,CHL,2001,2242.0,14.177331,15.523973,South America,326.96624756,3767.44564833728,1.6803950260201963,0.08678725005742363,
Chile,CHL,2002,2250.0,13.952596,15.693798,South America,322.87405396,3658.12695694988,1.6258342030888355,0.08826212369327119,
Chile,CHL,2003,2235.0,14.278694,15.859114,South America,349.77905273,3831.86410845203,1.7144805854371499,0.09128169549606009,
Chile,CHL,2004,2232.0,15.642367,16.017966,South America,427.43676758,4580.73669911677,2.0523013884931767,0.09331179582149216,
Chile,CHL,2005,2157.0,17.545631,16.175315,South America,500.87454224,5570.93221392741,2.5827223986682477,0.08990856880071282,
Chile,CHL,2006,2165.0,19.737719,16.334573,South America,571.89831543,6243.95229609145,2.8840426309891223,0.09159235822285082,
Chile,CHL,2007,2128.0,21.209396,16.495543,South America,649.92242432,7053.87734548767,3.314791985661499,0.09213690463951037,
Chile,CHL,2008,2095.0,20.655039,16.661463,South America,726.73669434,7731.67262220428,3.6905358578540715,0.09399475764828868,
Chile,CHL,2009,2074.0,21.182268,16.83345,South America,738.284729,7671.38433055761,3.698835260635299,0.09623878783639775,
Chile,CHL,2010,2070.0,23.995832,17.004166,South America,870.70959473,9546.46584500936,4.611819248796792,0.09120753259544569,
Chile,CHL,2011,2047.0,26.033329,17.173568,South America,994.66607666,10604.9801641088,5.180742630243674,0.09379235616359946,
Chile,CHL,2012,2024.0,26.869024,17.34177,South America,1081.46081543,11887.515929724,5.873278621405139,0.09097449978812426,
Chile,CHL,2013,2015.0,27.298716,17.509926,South America,1183.62084961,12514.9694089726,6.210902932492606,0.09457640773467682,
Chile,CHL,2014,1990.0,27.769316,17.687108,South America,1150.06164551,11688.2782472184,5.873506656893669,0.09839444451826718,
Chile,CHL,2015,1988.0,27.039087,17.870122,South America,1133.27978516,11281.8130725,5.674956273893359,0.10045192008387623,
Chile,CHL,2016,1974.0,26.58352,18.08388,South America,1179.73376465,11133.0633857155,5.639849739470872,0.10596667994935527,
Chile,CHL,2017,1954.0,27.260792,18.368582,South America,1367.71643066,11819.4918774302,6.048869947507779,0.11571702445785424,
Chile,CHL,2018,1940.6,28.114603,18.701452,South America,1457.27270508,12167.3084458247,6.269869342381067,0.11976952105459887,
Chile,CHL,2019,1914.4,28.418756,19.039484,South America,1369.48400879,11556.4703392788,6.036601723400961,0.11850365800146767,18.504671
Chile,CHL,2019,1914.4,28.418756,19.039484,South America,1369.48400879,11556.4703392788,6.036601723400961,0.11850365800146767,
China,CHN,2000,2090.4753,3.524101,1264.099072,Asia,42.99362183,798.025383405993,0.381743512303634,0.053875005387049354,
China,CHN,2001,2103.5151,3.775427,1272.739584,Asia,44.56903839,876.871248555301,0.4168599733633008,0.050827346048157265,
